,property_id,suburb,city,state,country,latitude,longitude,location
183,679121,Glebe,Sydney,NSW,Australia,-33.88074,151.18556999999998,"154 Bridge Rd, Glebe NSW 2037"
184,66170,Ultimo,Sydney,NSW,Australia,-33.88333,151.19523999999998,"76 Bay St, Ultimo NSW 2007"
185,80470,Neutral Bay,Sydney,NSW,Australia,-33.82999,151.21831,"Military Rd Near Watson St, Neutral Bay NSW 2089"
186,85331,Miranda,Sydney,NSW,Australia,-34.035340000000005,151.10388,"536 Kingsway, Miranda NSW 2228"
187,92853,Balmain,Sydney,NSW,Australia,-33.85999,151.17585,"27 Roseberry St, Balmain NSW 2041"
188,105938,Newport,Sydney,NSW,Australia,-33.649640000000005,151.31691999999998,"36 Grandview Dr, Newport NSW 2106"
189,143048,Newtown,Sydney,NSW,Australia,-33.9012,151.18031000000002,"33 Munni St, Newtown NSW 2042"
190,200868,Rosebery,Sydney,NSW,Australia,-33.915620000000004,151.21133999999998,"83-93 Dalmeny Ave, Rosebery NSW 2018"
191,232188,North Narrabeen,Sydney,NSW,Australia,-33.70017,151.29355,"35 Warraba Rd, North Narrabeen NSW 2101"
192,257847,Maianbar,Sydney,NSW,Australia,-34.07966,151.1257,"46 Cullen Ln, Maianbar NSW 2230"
193,262191,Dawes Point,Sydney,NSW,Australia,-33.856590000000004,151.20782,"18 Lower Fort St, Dawes Point NSW 2000"
194,264513,Willoughby East,Sydney,NSW,Australia,-33.79381,151.20263,"21 Bedford St, North Willoughby NSW 2068"
195,264925,Bondi Beach,Sydney,NSW,Australia,-33.88695,151.27846,"11A Brighton Blvd, Bondi Beach NSW 2026"
196,288305,Rooty Hill,Sydney,NSW,Australia,-33.78453,150.84881000000001,"13 Reynell St, Eastern Creek NSW 2766"
197,290146,Bellevue Hill,Sydney,NSW,Australia,-33.88596,151.25758000000002,"23A Bellevue Rd, Bellevue Hill NSW 2023"
198,291677,Newtown,Sydney,NSW,Australia,-33.90664,151.17598,"118 Wells St, Newtown NSW 2042"
199,323999,Malabar,Sydney,NSW,Australia,-33.968509999999995,151.2508,"23 Napier St, Malabar NSW 2036"
200,329096,Newtown,Sydney,NSW,Australia,-33.89656,151.17296000000002,"7 Gladstone St, Enmore NSW 2042"
201,374072,North Bondi,Sydney,NSW,Australia,-33.88622,151.2761,"60 Mitchell St, Bondi Beach NSW 2026"
202,397905,Dover Heights,Sydney,NSW,Australia,-33.885259999999995,151.28243,"36 O'Donnell St, North Bondi NSW 2026"
203,408200,Rooty Hill,Sydney,NSW,Australia,-33.78439,150.84571,"15 Alverna St, Rooty Hill NSW 2766"
204,412078,Church Point,Sydney,NSW,Australia,-33.64275,151.27917,"33 Douglass Estate, Mccarrs Creek NSW 2105"
205,446497,Fairlight,Sydney,NSW,Australia,-33.79671,151.27045,"24 Rosedale Ave, Fairlight NSW 2094"
206,470500,Camperdown,Sydney,NSW,Australia,-33.889959999999995,151.17949,"114 Church St, Camperdown NSW 2050"
